"Statistic","Financial Year","Local Government District","Motorway","A Roads (dual)","A Roads (single)","B Roads","C Roads","Unclassified","All Road Type"
"Percentage of total length of road class","2021/22","Lisburn and Castlereagh",22.30554587,4.855594933,5.412925256,4.856324595,4.815896988,5.462318876,5.340646919
"Percentage of total length of road class","2021/22","Mid and East Antrim",6.365538891,15.52812742,7.400453347,8.079257848,6.528817733,6.426958684,6.796022173
"Percentage of total length of road class","2021/22","Mid Ulster",7.743285664,13.58100126,10.33358952,14.38192855,14.64107159,12.98104388,13.21481659
"Percentage of total length of road class","2021/22","Newry, Mourne and Down",0,11.99234185,15.59231839,9.934979514,12.79676204,11.5959038,11.89821625
"Percentage of total length of road class","2021/22","Ards and North Down",0,10.74992871,6.6304443,1.979733341,3.487621736,4.966937595,4.52402335
"Percentage of total length of road class","2021/22","Northern Ireland",100,100,100,100,100,100,100
"Percentage of total length of road class","2022/23","Antrim and Newtownabbey",30.58946634,11.6652371,4.910032954,5.385304137,5.043483781,5.245017471,5.370535801
"Percentage of total length of road class","2022/23","Armagh City, Banbridge and Craigavon",22.20962679,12.21664012,11.26313538,13.60562887,14.33377769,14.08113939,13.86789644
"Percentage of total length of road class","2022/23","Belfast",10.78653645,8.630478291,4.48668721,1.741355829,0.765780063,5.574876066,4.229247636
"Percentage of total length of road class","2022/23","Causeway Coast and Glens",0,3.577992893,13.98450487,15.5641396,9.436086248,9.191359122,10.24197073
"Percentage of total length of road class","2022/23","Derry City and Strabane",0,7.086549851,4.437596602,8.837140691,9.565162191,9.628238225,9.04777926
"Percentage of total length of road class","2022/23","Fermanagh and Omagh",0,0.232814606,15.51797883,15.57889103,18.59201422,14.82154916,15.44757043
"Percentage of total length of road class","2022/23","Lisburn and Castlereagh",22.30554587,4.868684393,5.40871577,4.863171834,4.816437081,5.469311189,5.34582439
"Percentage of total length of road class","2022/23","Mid and East Antrim",6.365538891,15.52097374,7.406363309,8.090649303,6.529549927,6.431103412,6.79954367
"Percentage of total length of road class","2022/23","Mid Ulster",7.743285664,13.61761222,10.32555336,14.40220654,14.64271356,12.97169558,13.21074308
"Percentage of total length of road class","2022/23","Newry, Mourne and Down",0,11.80410897,15.63414373,9.948987468,12.78698237,11.60333934,11.90428679
"Percentage of total length of road class","2022/23","Ards and North Down",0,10.77890781,6.625287982,1.982524692,3.488012865,4.982371045,4.534601775
"Percentage of total length of road class","2022/23","Northern Ireland",100,100,100,100,100,100,100
"Percentage of total length of road class","2023/24","Antrim and Newtownabbey",30.58766082,10.57880202,4.948472596,5.359877698,5.040856879,5.25114716,5.368809713
"Percentage of total length of road class","2023/24","Armagh City, Banbridge and Craigavon",22.20894898,11.08112563,11.35003855,13.54117674,14.32658242,14.10215414,13.86738086
"Percentage of total length of road class","2023/24","Belfast",10.78577127,7.829172926,4.52156764,1.732957868,0.765332208,5.562643744,4.219645283
"Percentage of total length of road class","2023/24","Causeway Coast and Glens",0,7.460580006,14.09408466,15.49074154,9.431286071,9.185579019,10.27072557
"Percentage of total length of road class","2023/24","Derry City and Strabane",0,11.51213856,3.811675887,9.051021619,9.594643795,9.650857274,9.089673765
"Percentage of total length of road class","2023/24","Fermanagh and Omagh",0,0.211153733,15.63941692,15.50542328,18.58701702,14.79802913,15.41795739
"Percentage of total length of road class","2023/24","Lisburn and Castlereagh",22.30660906,4.415520911,5.451108483,4.840161055,4.813934727,5.461673622,5.336102589
"Percentage of total length of road class","2023/24","Mid and East Antrim",6.365344622,14.07839731,7.464199256,8.052577713,6.526208774,6.446500072,6.801760572
"Percentage of total length of road class","2023/24","Mid Ulster",7.745665244,12.35175248,10.2872583,14.55110997,14.63204275,12.95932867,13.2044545
"Percentage of total length of road class","2023/24","Newry, Mourne and Down",0,10.70567948,15.75482576,9.901811573,12.78052126,11.58503521,11.88088357
"Percentage of total length of road class","2023/24","Ards and North Down",0,9.775676942,6.677351945,1.973140946,3.501574095,4.99705196,4.542606194
"Percentage of total length of road class","2023/24","Northern Ireland",100,100,100,100,100,100,100
"Percentage of total length of road class","2024/25","Antrim and Newtownabbey",30.58766082,10.57292698,4.978915265,5.33605608,5.040340935,5.252075793,5.368913874
"Percentage of total length of road class","2024/25","Armagh City, Banbridge and Craigavon",22.20894898,11.07497163,11.41986322,13.48099389,14.32511606,14.06270203,13.84301254
"Percentage of total length of road class","2024/25","Belfast",10.78577127,7.824824923,4.549384018,1.725255852,0.765253875,5.57023539,4.226489118
"Percentage of total length of road class","2024/25","Causeway Coast and Glens",0,7.522154201,13.58930406,15.83584661,9.430320756,9.178560039,10.26537312
"Percentage of total length of road class","2024/25","Derry City and Strabane",0,11.49852552,3.804222467,9.026499189,9.59668581,9.691435173,9.114908356
"Percentage of total length of road class","2024/25","Fermanagh and Omagh",0,0.211036467,15.74119892,15.43542273,18.59027451,14.7813907,15.40719519
"Percentage of total length of road class","2024/25","Lisburn and Castlereagh",22.30660906,4.413068711,5.484643334,4.818649283,4.813442009,5.490150977,5.353494226
"Percentage of total length of road class","2024/25","Mid and East Antrim",6.365344622,14.06761682,7.510907087,8.01678857,6.5255408,6.448671129,6.802163318
"Percentage of total length of road class","2024/25","Mid Ulster",7.745665244,12.34489282,10.35138268,14.50231272,14.63259641,12.96250133,13.20757056
"Percentage of total length of road class","2024/25","Newry, Mourne and Down",0,10.69973398,15.85174839,9.857803634,12.77921314,11.56945305,11.87026217
"Percentage of total length of road class","2024/25","Ards and North Down",0,9.770247931,6.718430562,1.964371453,3.5012157,4.992824381,4.540617517
"Percentage of total length of road class","2024/25","Northern Ireland",100,100,100,100,100,100,100
